City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
222,Adre,TD,13.47,22.2,70.72,92,100,8.77,light rain
223,Sampit,ID,-2.53,112.95,84.79,61,3,4.21,clear sky
224,Bredasdorp,ZA,-34.53,20.04,45.0,93,73,9.28,broken clouds
225,Montepulciano,IT,43.1,11.79,64.99,81,0,1.5,clear sky
226,Jiblah,YE,13.92,44.15,66.94,72,75,4.0,broken clouds
227,Warrnambool,AU,-38.38,142.48,52.0,83,48,10.0,light rain
228,Cidreira,BR,-30.18,-50.21,51.33,75,27,11.39,scattered clouds
229,Kashi,CN,39.45,75.98,66.2,68,40,2.37,scattered clouds
230,Honningsvag,NO,70.98,25.97,50.36,84,100,8.3,light rain
231,Smithers,CA,54.78,-127.17,55.4,87,90,5.82,light rain
232,Noumea,NC,-22.28,166.46,78.8,54,1,10.29,clear sky
233,Manggar,ID,-2.88,108.27,83.17,73,88,13.27,overcast clouds
234,Necochea,AR,-38.55,-58.74,43.0,68,76,5.99,broken clouds
235,Muros,ES,42.78,-9.06,63.0,94,89,6.06,overcast clouds
236,Constantine,DZ,36.37,6.61,75.2,44,1,3.36,clear sky
237,Mankono,CI,8.06,-6.19,69.4,98,94,6.06,overcast clouds
238,Baracoa,CU,20.35,-74.5,81.46,85,57,5.59,broken clouds
239,Chara,RU,56.91,118.26,64.15,39,100,2.21,overcast clouds
240,Shimoda,JP,34.67,138.95,87.01,74,20,11.41,few clouds
241,Olafsvik,IS,64.89,-23.71,49.3,78,12,6.15,few clouds
242,Vestmanna,FO,62.16,-7.17,51.8,76,96,12.75,overcast clouds
243,Barkly West,ZA,-28.54,24.52,28.4,68,0,3.74,clear sky
244,Mariental,NA,-24.63,17.97,37.27,58,0,9.1,clear sky
245,Poddorye,RU,57.47,31.12,51.78,94,0,2.95,clear sky
246,Talnakh,RU,69.49,88.4,62.6,42,100,13.42,overcast clouds
247,Harper,LR,4.38,-7.72,75.49,86,100,10.22,overcast clouds
248,San Vicente,AR,-26.62,-54.13,50.7,95,100,8.14,overcast clouds
249,Birjand,IR,32.87,59.22,64.4,18,0,4.7,clear sky
250,Touros,BR,-5.2,-35.46,71.6,94,20,3.36,few clouds
251,Luderitz,NA,-26.65,15.16,59.54,32,0,9.28,clear sky
252,Gimli,CA,50.63,-96.99,75.0,99,39,4.9,scattered clouds
253,Evensk,RU,61.95,159.23,53.2,87,100,10.07,light rain
254,Los Andes,CL,-32.83,-70.6,48.99,99,0,3.94,clear sky
255,Nchelenge,ZM,-9.35,28.73,66.96,43,42,3.31,scattered clouds
256,Fairbanks,US,64.84,-147.72,73.4,46,1,6.93,clear sky
257,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,78.08,73,0,2.62,clear sky
258,Shache,CN,38.42,77.24,77.05,29,100,2.89,overcast clouds
259,Buchanan,LR,5.88,-10.05,77.0,88,75,6.93,broken clouds
260,Port Blair,IN,11.67,92.75,84.02,75,99,15.55,overcast clouds
261,Gbadolite,CD,4.28,21.02,68.34,91,100,0.69,overcast clouds
262,Troina,IT,37.79,14.6,73.99,100,5,4.7,clear sky
263,Constitucion,CL,-35.33,-72.42,46.51,67,0,7.36,clear sky
264,Galesong,ID,-5.32,119.37,86.0,40,20,4.7,few clouds
265,Virden,US,39.5,-89.77,68.0,74,0,5.26,clear sky
266,Araouane,ML,18.9,-3.53,94.08,34,24,14.79,few clouds
267,San Jeronimito,MX,17.55,-101.33,79.75,82,100,4.05,overcast clouds
268,Husavik,IS,66.04,-17.34,44.6,81,0,1.12,clear sky
269,Kalabo,ZM,-14.97,22.68,54.12,37,0,7.76,clear sky
270,Owando,CG,-0.48,15.9,73.29,92,100,2.62,overcast clouds
271,Katunayaka,LK,7.16,79.88,82.4,78,75,8.05,broken clouds
272,Keti Bandar,PK,24.14,67.45,84.88,79,100,17.18,overcast clouds
273,Itarema,BR,-2.92,-39.92,75.9,81,55,11.52,broken clouds
274,Tazovskiy,RU,67.47,78.7,57.47,83,98,11.48,overcast clouds
275,Kungurtug,RU,50.6,97.52,60.42,74,100,1.1,overcast clouds
276,Aberdeen,GB,57.14,-2.1,61.0,93,100,12.75,mist
277,Buta,CD,2.79,24.73,67.21,97,99,0.31,overcast clouds
278,Khor,RU,47.89,134.95,65.21,68,0,10.89,clear sky
279,Lagoa,PT,39.05,-27.98,68.83,70,78,18.68,broken clouds
280,Atar,MR,20.52,-13.05,91.02,40,0,13.24,clear sky
281,Matara,LK,5.95,80.54,80.87,80,100,10.2,overcast clouds
282,Chirongui,YT,-12.93,45.15,69.8,94,20,1.12,few clouds
283,Burgeo,CA,47.62,-57.62,61.81,88,100,5.08,overcast clouds
284,Nantucket,US,41.28,-70.1,66.99,93,75,9.98,broken clouds
285,Sobolevo,RU,54.43,31.9,57.31,95,100,10.8,overcast clouds
286,Carballo,ES,43.21,-8.69,62.6,93,75,4.7,broken clouds
287,Javanrud,IR,34.8,46.52,60.8,41,0,1.54,clear sky
288,North Bend,US,43.41,-124.22,66.0,87,90,4.7,overcast clouds
289,Peruibe,BR,-24.32,-47.0,65.84,81,99,4.74,overcast clouds
290,Mazagao,BR,-0.12,-51.29,82.4,88,40,9.17,scattered clouds
291,Merauke,ID,-8.47,140.33,82.27,60,57,9.31,broken clouds
292,Valdivia,CL,-39.81,-73.25,41.0,75,0,4.7,clear sky
293,Zapolyarnyy,RU,69.42,30.81,51.8,100,71,10.29,broken clouds
294,Wynyard,AU,-41.0,145.72,51.01,63,46,10.0,scattered clouds
295,Tecpan,GT,14.76,-90.99,52.0,100,100,3.0,moderate rain
296,Namatanai,PG,-3.67,152.43,83.44,70,64,6.29,light rain
297,Souillac,MU,-20.52,57.52,68.0,82,75,8.05,shower rain
298,Tevaitoa,PF,-16.78,-151.5,78.76,76,4,20.51,light rain
299,Salta,AR,-24.79,-65.41,44.6,36,100,4.7,overcast clouds
300,Yangambi,CD,0.81,24.43,71.13,95,97,1.9,overcast clouds
301,Orotukan,RU,62.27,151.7,43.02,91,100,12.21,light rain
302,Matamoros,MX,25.53,-103.25,89.6,25,75,12.75,broken clouds
303,Rudnya,RU,54.95,31.09,56.57,96,99,9.13,overcast clouds
304,Coos Bay,US,43.37,-124.22,68.0,87,90,4.7,overcast clouds
305,Esperance,AU,-33.87,121.9,50.0,100,75,11.41,broken clouds
306,Alofi,NU,-19.06,-169.92,78.24,89,0,10.31,clear sky
307,Wajir,KE,1.75,40.06,71.6,80,48,11.39,scattered clouds
308,Jacareacanga,BR,-6.22,-57.75,78.85,46,0,1.59,clear sky
309,Cherskiy,RU,68.75,161.3,46.53,58,39,9.98,scattered clouds
310,Karaidel,RU,55.83,56.91,46.33,86,100,13.35,overcast clouds
311,Tual,ID,-5.67,132.75,79.27,80,6,15.03,clear sky
312,Saint-Paul,RE,-21.01,55.27,66.2,88,90,11.41,light rain
313,Hohoe,GH,7.15,0.47,70.02,92,28,2.77,scattered clouds
314,Kaa-Khem,RU,51.68,94.73,62.55,66,0,2.55,clear sky
315,Qui Nhon,VN,13.77,109.23,82.45,73,100,5.66,overcast clouds
316,Brownsville,US,25.9,-97.5,86.0,58,1,5.82,clear sky
317,Havoysund,NO,71.0,24.66,48.2,93,75,13.87,broken clouds
318,Senanga,ZM,-16.12,23.27,50.0,41,30,7.11,scattered clouds
319,Wanning,CN,18.8,110.4,83.73,78,99,3.67,light rain
