City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
591,Hirapur,IN,76.14,light rain,21.53,79.77,GUDRI VILLAGE
592,Enshi,CN,80.51,light rain,30.3,109.48,Moevenpick Enshi
597,Nuevitas,CU,77.0,light rain,21.55,-77.26,Hotel Caonaba
598,Sabha,LY,85.35,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
599,Lethem,GY,77.76,overcast clouds,3.38,-59.8,Savannah Inn
602,San Quintin,MX,77.41,few clouds,30.48,-115.95,Old Mill Hotel
604,Santa Isabel Do Rio Negro,BR,79.07,clear sky,-0.41,-65.02,Hotel GSA
608,Shunyi,CN,82.0,overcast clouds,40.12,116.65,Beijing Mingchen Holiday Hotel
609,Bonham,US,82.0,clear sky,33.58,-96.18,Economy Inn
610,Mingguang,CN,84.43,scattered clouds,32.78,117.96,Yonghao Hotel
612,Guangyuan,CN,78.01,broken clouds,32.44,105.82,Guangyuan Poetry Hotel
613,Kalaleh,IR,77.0,clear sky,37.38,55.49,عطر و ادکلن پارسیس
614,Pringsewu,ID,80.73,overcast clouds,-5.36,104.97,Urban Style by Front One
619,Shirgaon,IN,80.8,moderate rain,19.7,72.7,LAXMI GARDEN BEACH RESORT
622,Totolapan,MX,84.99,few clouds,18.52,-96.18,RANCHO LOS ZURITA
624,Fukue,JP,87.8,few clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
625,Huicheng,CN,84.2,scattered clouds,23.04,116.29,Huilai Hotel
628,Jalu,LY,76.59,clear sky,29.03,21.55,Jalu Hotel
629,Zuwarah,LY,80.19,clear sky,32.93,12.08,سالمة نورالدين المخزوم الزليطني
632,Andros Town,BS,77.0,thunderstorm with heavy rain,24.7,-77.77,Hanks place
639,Lamar,US,80.6,clear sky,33.67,-95.58,Kings Inn Paris TX
641,Pochutla,MX,79.0,light rain,15.74,-96.47,Hotel Posada San Jose
643,Naifaru,MV,82.58,overcast clouds,5.44,73.37,Naifaru Residence Guest House
645,Tortoli,IT,75.2,clear sky,39.93,9.66,Hotel La Bitta
648,Sorong,ID,81.57,light rain,-0.88,131.25,The Waigo Hotel
649,Norsup,VU,82.4,broken clouds,-16.07,167.38,Nabelchel Bungalows
652,Carutapera,BR,77.85,overcast clouds,-1.2,-46.02,Lidera
653,Candiis,PH,85.5,scattered clouds,8.97,125.18,La isla bounetta
659,Singaraja,ID,83.26,few clouds,-8.11,115.09,Puri Bagus Lovina Resort
660,Praia,CV,78.8,few clouds,14.92,-23.51,LT Aparthotel
662,Coari,BR,80.73,clear sky,-4.08,-63.14,HOTEL ALEX FLAT
663,Guarapari,BR,77.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
665,Kavaratti,IN,82.15,light rain,10.57,72.64,Bismillah Hotel And Lodging
668,Acapulco,MX,84.2,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
669,Changde,CN,82.27,overcast clouds,29.05,111.68,Kangshida Hotel
673,Biak,ID,81.54,scattered clouds,-0.91,122.88,Kost Ariz
684,Dinga,PK,77.0,thunderstorm with rain,32.64,73.72,Khan Tariq Hotel
685,Samarai,PG,77.47,clear sky,-10.62,150.67,Nuli Sapi
688,Puerto Leguizamo,CO,75.43,overcast clouds,-0.19,-74.78,la casona de juancho
689,Kamaishi,JP,87.8,few clouds,39.27,141.88,Hotel Route Inn Kamaishi
691,Jalalabad,AF,84.2,broken clouds,34.43,70.45,انصاف چهاردهي هوټل
692,Sarangani,PH,83.75,light rain,5.4,125.46,Ballistic Islet
697,Kanigoro,ID,83.1,clear sky,-8.13,112.22,Kampoeng Soekarelawan Pmi Jatim 2017
701,Miramar,US,80.6,clear sky,25.99,-80.23,Stadium Hotel
705,Roura,GF,77.0,clear sky,4.73,-52.33,Amazonie Découverte SARL
708,Yamada,JP,87.1,clear sky,39.47,141.95,Iroha-ya Inn
717,Wewak,PG,85.53,clear sky,-3.55,143.63,In Wewak Boutique Hotel
718,Kampong Thum,KH,81.79,overcast clouds,12.71,104.89,Sambor Village Hotel
